model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction,numeric_one_fraction
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,0,764,977,746428,372,605,0.38075742067553736,626,0.6407369498464688,0.004819574816405601,0.03266447634187336,0.9506435985788314,0.04935640142116855,0.0009014486917563895,284208,7.037099589033384e-06,0.002652743875360521,0.999992962900411,7.037099589033384e-06,462220,0.007778688916663061,0.04117884113298563,0.920299857210852,0.00012115442862706071
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,1,764,102,77928,81,21,0.7941176470588235,0,0.0,0.22553277004176936,0.36780145869932096,0.6667179960989631,0.33328200390103685,0.08808262695172366,61884,0.18428026630469913,0.3877125865320447,0.8157197336953009,0.18428026630469913,16044,0.3846495701704687,0.21300765982368672,0.09199700822737472,0.00012465719272001995
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,2,764,180,137520,133,47,0.7388888888888889,0,0.0,0.08553365595737347,0.23505049441849407,0.7717132053519488,0.22828679464805118,0.043277773241740154,101612,0.06774790379089084,0.2513128037383512,0.9322520962091092,0.06774790379089084,35908,0.13586355038593073,0.17157677480176928,0.31742230143700567,0.00038988526233708367
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,3,764,44,33616,23,21,0.5227272727272727,0,0.0,0.5897475247056164,0.40486033486180156,0.2834067110899572,0.7165932889100428,0.09674815070111734,17572,0.4704643751422718,0.49912688453364595,0.5295356248577282,0.4704643751422718,16044,0.7203909742273746,0.19475388390404014,0.013836948391922213,0.10003739715781601
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,3,4,764,220,168080,219,1,0.9954545454545455,0,0.0,3.631192688005712e-05,0.005265002687555549,0.9999524036173251,4.759638267491671e-05,2.7306800939811265e-05,167316,0.0,0.0,1.0,0.0,764,0.007988623913612566,0.07768479707308926,0.9895287958115183,0.0
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,0,381,977,372237,372,605,0.38075742067553736,626,0.6407369498464688,0.043822182456142195,0.15196575580754548,0.8211327729376714,0.17886722706232858,0.01838408970392075,141732,0.04226991787316908,0.20120430392057875,0.957730082126831,0.04226991787316908,230505,0.0447766327451769,0.11134972759342425,0.7371423613370642,0.0013275200104119215
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,1,381,102,38862,81,21,0.7941176470588235,0,0.0,0.5217476061839071,0.453431997783657,0.38235294117647056,0.6176470588235294,0.16870462736740904,30861,0.5234762321376495,0.499448562441238,0.47652376786235057,0.5234762321376495,8001,0.5150800489337582,0.19082839504516005,0.019122609673790775,0.00024996875390576176
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,2,381,180,68580,133,47,0.7388888888888889,0,0.0,0.32681738130198307,0.4303077030164771,0.5060804899387576,0.49391951006124235,0.16739317268434623,50673,0.3648491307007677,0.4813878296422353,0.6351508692992324,0.3648491307007677,17907,0.21919562236499696,0.1941839079788633,0.14083877813145698,0.0003350644999162339
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,3,381,44,16764,23,21,0.5227272727272727,0,0.0,0.7266807332501789,0.3456611544348556,0.14757814364113578,0.8524218563588642,0.08278017792165193,8763,0.7195024534976606,0.44924233205309955,0.2804975465023394,0.7195024534976606,8001,0.7345426586934133,0.17083537896729217,0.001999750031246094,0.09523809523809523
bistochastic_r5_c5_seed42,bistochastic,5,5,25,42,4,4,381,220,83820,219,1,0.9954545454545455,0,0.0,0.43834777909120737,0.4959504757660977,0.5613099498926271,0.43869005010737294,0.21798220393095108,83439,0.43913517659607615,0.49628164712389794,0.5608648234039239,0.43913517659607615,381,0.26590772552493436,0.3796476962451554,0.6587926509186351,0.0
