k,pairwise_ari
3,0.9461012055039338
3,0.9460256035464368
3,0.9794884672795612
3,0.9375140874602617
3,0.6739555600472925
3,0.9544137580824876
3,0.9585939056286482
3,0.95697228654087
3,0.9720802871135409
3,0.5238925886047872
3,0.9639224686465155
3,0.9383297646864216
3,0.9512236208693823
3,0.952154704941643
3,0.9354884661735594
3,0.5354116331118615
3,0.9547089461502113
3,0.9588958719086845
3,0.524667000651552
3,0.9639299666286919
3,0.9263754236178433
3,0.9770036583886056
3,0.9427497959792644
3,0.9786672685700665
3,0.9582593544926122
3,0.9279386400944437
3,0.9944556402643643
3,0.9942585347933349
3,0.9957077559237983
3,0.9223764266370672
3,0.963472483239811
3,0.9839453270506757
3,0.6396539032465836
3,0.9877682785872056
3,0.980566336348374
3,0.9788553807119792
3,0.9675472843476084
3,0.5100447481495037
3,0.9737812523702386
3,0.9836688153968928
3,0.923730664109832
3,0.9890718194774221
3,0.9866132995477498
3,0.5131996433211408
3,0.9805063528584662
3,0.9732773335225378
3,0.5037496121270342
3,0.9734189620875502
3,0.9738696663989
3,0.9610334098490158
3,0.9882561384438397
3,0.9626474895694568
3,0.982120469514711
3,0.9715053500109726
3,0.947260799835678
3,0.9916402060016504
3,0.921519218022018
3,0.9626807233637702
3,0.9896239094476625
3,0.6383543286839994
3,0.9853602271484335
3,0.9798064432114973
3,0.9819366692614931
3,0.9667625572133621
3,0.5082635972894831
3,0.9730023487481647
3,0.9796208307858938
3,0.92287089804743
3,0.9883163390451596
3,0.9877637033834032
3,0.5114959239715576
3,0.9826273123512309
3,0.9763474481337582
3,0.5020461535906262
3,0.9764943650657328
3,0.9794768401167332
3,0.9602374229724066
3,0.9858479068426877
3,0.9602479186814052
3,0.9813507862083702
3,0.9771063353372231
3,0.9464581863330149
3,0.9233440627830398
3,0.9644384199536485
3,0.9813535138567788
3,0.6405921737355094
3,0.990385471328858
3,0.9798868035543337
3,0.9778991403868506
3,0.9685128121302622
3,0.5110047052679857
3,0.9737817599345225
3,0.983676730665955
3,0.9246993766274854
3,0.9864577898254334
3,0.9856670781561099
3,0.5141525213309321
3,0.9795502109317655
3,0.9706884544461674
3,0.5046963585175381
3,0.970827240944242
3,0.9713077012362046
3,0.9619995914535326
3,0.9899117167109132
3,0.965231920344384
3,0.9811557961643711
3,0.9689466248365414
3,0.9482221665914085
3,0.956007955389337
3,0.9163271290530222
3,0.693644952015055
3,0.9298721836178389
3,0.9370825212718534
3,0.9354954566029078
3,0.9519804748918661
3,0.5403020236171372
3,0.9455142776995967
3,0.9157100075331642
3,0.9775257363877984
3,0.9307787500020664
3,0.9129192157709531
3,0.5492414838938462
3,0.9348929137108498
3,0.9373618216343128
3,0.5390778962672539
3,0.9423222118192762
3,0.905335448890664
3,0.9600599232646212
3,0.9216018427932359
3,0.9506677217368366
3,0.9367654647318098
3,0.9068642661132261
3,0.9433317605597874
3,0.9557817243168274
3,0.664030881962466
3,0.9712492006955289
3,0.9755019293961431
3,0.9754995023874162
3,0.990813607665823
3,0.5235048239903883
3,0.9809048036017609
3,0.9565591069909507
3,0.9589897083646687
3,0.9689746385389211
3,0.9536787658363193
3,0.5298572730788123
3,0.9722242855934858
3,0.9748406105898378
3,0.5200760685409289
3,0.979926406601758
3,0.9445013645135325
3,0.9958130768426017
3,0.9610478897486211
3,0.9925022159446459
3,0.9735218235912666
3,0.9451537147758196
3,0.978347733596326
3,0.6340434148227666
3,0.9776980539750789
3,0.9764030657020212
3,0.9782397734198245
3,0.9598502160134418
3,0.5064046368888026
3,0.9686524518927255
3,0.9752754584227977
3,0.9176753028277155
3,0.9839326972061097
3,0.9840842433896653
3,0.5077032813319788
3,0.9805864608512865
3,0.9762162017266905
3,0.4982949526587297
3,0.972802488371296
3,0.9845513953479845
3,0.9533464484638614
3,0.9781901889655251
3,0.9533709904442208
3,0.9769775980946188
3,0.9821714420524462
3,0.9396273218956956
3,0.6458829422453468
3,0.6492608217564234
3,0.6481454981293906
3,0.6612772782963986
3,0.7184882019365826
3,0.6550912661582218
3,0.6350893971455461
3,0.692558179636377
3,0.6450032473312896
3,0.6330730356696281
3,0.7626291383403644
3,0.6480207247865433
3,0.6503336071490142
3,0.7558564538560566
3,0.652894055196807
3,0.6257201773656046
3,0.6656924984679258
3,0.6391461813640681
3,0.6642149722067863
3,0.650242602896833
3,0.6267377701467657
3,0.6712130692477888
3,0.9795226201137675
3,0.9848215411573908
3,0.9769907288613838
3,0.5148891436166864
3,0.9773634315452374
3,0.9816794709287172
3,0.9328079253103377
3,0.9818412025553083
3,0.976156021549951
3,0.517414983625826
3,0.9798791676143985
3,0.9759278275099758
