repeat,split_seed,kmeans_seed,k,n_train,n_validation,n_components,retained_variance,validation_silhouette,validation_calinski_harabasz,validation_davies_bouldin,train_inertia,minimum_cluster_fraction,maximum_cluster_fraction,empty_clusters_in_validation
14,2718398101,91994627,3,3001,750,92,0.9005879440423982,0.10524736954727693,71.50421628941804,2.608036963099349,11556.88344228227,0.19328179152226074,0.5633164489469474,0
14,2718398101,2007917719,4,3001,750,92,0.9005879440423982,0.10074114874219475,67.6036764583371,2.4777574844439165,10964.268537282971,0.027459344174886696,0.39722740602505996,0
14,2718398101,156102330,5,3001,750,92,0.9005879440423982,0.08117818268040024,60.76027655320988,2.465158226225486,10520.54751540936,0.02692615302585977,0.3364436150359904,0
14,2718398101,1767480318,6,3001,750,92,0.9005879440423982,0.08593269108755817,56.0394776352001,2.5171039459559874,10171.223507746925,0.01999466808850973,0.22900559850706478,0
14,2718398101,1731174753,7,3001,750,92,0.9005879440423982,0.09233259554758726,56.04014654493287,2.2652207833010842,9860.085015266579,0.00959744068248467,0.2577979205545188,0
14,2718398101,612194999,8,3001,750,92,0.9005879440423982,0.08335472850390475,50.8838160279299,2.2812052842327946,9604.361755424045,0.01039722740602506,0.22580645161290322,0
14,2718398101,1145174994,9,3001,750,92,0.9005879440423982,0.0819490278861731,46.98266308362428,2.285929258858703,9436.214655586366,0.01039722740602506,0.2044788056518262,0
14,2718398101,1011468359,10,3001,750,92,0.9005879440423982,0.08073058344740575,47.19137976455139,2.3205245439506488,9232.049680307346,0.0007997867235403892,0.21727539322847242,1
15,176092387,1933286297,2,3001,750,93,0.9012019709784548,0.11181648725939895,72.64616169534474,2.5880748777072444,12440.120756884544,0.2668621700879765,0.7331378299120235,0
15,176092387,585880221,3,3001,750,93,0.9012019709784548,0.10463529960857137,69.3004767534599,2.6326586338926368,11593.454967716603,0.2202079445481205,0.5369234870701146,0
15,176092387,971306294,4,3001,750,93,0.9012019709784548,0.09315880169239188,63.295402511804944,2.5592164783598124,10967.640140211166,0.02852572647294055,0.39322847240735803,0
15,176092387,386535526,5,3001,750,93,0.9012019709784548,0.08139775826107593,58.366716416757775,2.4630535969503615,10535.360773695906,0.028259130898427087,0.34017595307917886,0
15,176092387,533424218,6,3001,750,93,0.9012019709784548,0.08864346684181783,55.77769188921229,2.403476812727111,10171.225124994611,0.006398293788323114,0.31351639562783257,0
15,176092387,113530714,7,3001,750,93,0.9012019709784548,0.09543354285880669,52.58140360688084,2.3315832900997293,9843.043677378311,0.006398293788323114,0.27326046387629965,0
15,176092387,239588101,8,3001,750,93,0.9012019709784548,0.08120229921912596,47.856959275039586,2.325580566363667,9589.797973701483,0.00693148493735004,0.2316715542521994,0
15,176092387,806711912,9,3001,750,93,0.9012019709784548,0.08526711470897531,44.53270142354952,2.3210648245444787,9394.359236861106,0.006664889362836577,0.20634497467342042,0
