cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
243,1,D844,1,3208,0.8552386030391895,1365,1843,0.574501246882793
28,1,D31,2,3205,0.8544388163156491,1397,1808,0.5641185647425897
198,1,D514,1,3205,0.8544388163156491,1484,1721,0.5369734789391576
166,1,D216,1,3204,0.8541722207411357,1497,1707,0.5327715355805244
202,1,D597,1,3197,0.8523060517195414,1558,1639,0.5126681263684705
172,1,D223,1,3196,0.852039456145028,1448,1748,0.5469336670838548
4937,2,"D22,D166",3,3516,0.9373500399893362,1594,1922,0.5466439135381115
14465,2,"D77,D741",3,3498,0.9325513196480938,1582,1916,0.5477415666094911
23426,2,"D166,D187",3,3498,0.9325513196480938,1650,1848,0.5283018867924528
10082,2,"D53,D166",3,3492,0.9309517462010131,1572,1920,0.5498281786941581
16764,2,"D93,D166",3,3481,0.928019194881365,1571,1910,0.5486929043378339
14315,2,"D77,D90",4,3480,0.9277525993068515,1549,1931,0.5548850574712644
23488,2,"D166,D596",3,3471,0.9253532391362304,1639,1832,0.5278017862287525
4947,2,"D22,D187",3,3470,0.9250866435617169,1642,1828,0.5268011527377522
10598,2,"D55,D741",3,3462,0.9229538789656092,1570,1892,0.5465049104563836
16866,2,"D93,D741",3,3457,0.9216209010930418,1595,1862,0.5386172982354642
4856,2,"D22,D55",3,3449,0.9194881364969342,1547,1902,0.5514641925195709
5009,2,"D22,D596",3,3447,0.9189549453479072,1629,1818,0.5274151436031331
13625,2,"D73,D166",3,3447,0.9189549453479072,1588,1859,0.5393095445314766
10001,2,"D53,D55",3,3440,0.917088776326313,1542,1898,0.5517441860465117
10092,2,"D53,D187",3,3437,0.9162889896027726,1617,1820,0.5295315682281059
319,2,"D1,D77",4,3426,0.9133564382831245,1528,1898,0.5539988324576766
4890,2,"D22,D93",3,3418,0.9112236736870168,1562,1856,0.5430076067875951
10504,2,"D55,D187",3,3417,0.9109570781125034,1598,1819,0.5323383084577115
23532,2,"D166,D925",3,3416,0.9106904825379899,1560,1856,0.5433255269320844
4887,2,"D22,D90",3,3412,0.909624100239936,1534,1878,0.5504103165298945
23509,2,"D166,D674",3,3411,0.9093575046654225,1579,1832,0.5370858985634711
5029,2,"D22,D674",3,3404,0.9074913356438283,1564,1840,0.5405405405405406
4868,2,"D22,D68",3,3402,0.9069581444948014,1531,1871,0.5499706055261611
10567,2,"D55,D596",3,3401,0.9066915489202879,1589,1812,0.5327844751543663
16206,2,"D90,D91",4,3400,0.9064249533457744,1512,1888,0.5552941176470588
14487,2,"D77,D950",4,3395,0.9050919754732072,1507,1888,0.5561119293078056
13635,2,"D73,D187",3,3393,0.9045587843241802,1630,1763,0.5195991747715886
2901,2,"D12,D77",4,3392,0.9042921887496668,1533,1859,0.5480542452830188
23533,2,"D166,D926",3,3391,0.9040255931751533,1549,1842,0.5432025951046889
6921,2,"D35,D49",3,3385,0.9024260197280725,1511,1874,0.5536189069423929
12884,2,"D68,D187",3,3383,0.9018928285790456,1597,1786,0.5279337865799586
24624,2,"D187,D504",3,3382,0.9016262330045322,1586,1796,0.5310467179183915
318,2,"D1,D76",3,3378,0.9005598507064783,1528,1850,0.5476613380698638
3076,2,"D12,D925",3,3378,0.9005598507064783,1554,1824,0.5399644760213144
5052,2,"D22,D925",3,3378,0.9005598507064783,1545,1833,0.5426287744227354
10147,2,"D53,D504",3,3378,0.9005598507064783,1509,1869,0.5532859680284192
12943,2,"D68,D596",3,3378,0.9005598507064783,1589,1789,0.529603315571344
14189,2,"D76,D187",3,3377,0.9002932551319648,1580,1797,0.53212910867634
10173,2,"D53,D674",3,3376,0.9000266595574513,1555,1821,0.5393957345971564
16207,2,"D90,D92",4,3376,0.9000266595574513,1501,1875,0.5553909952606635
29667,2,"D596,D925",3,3375,0.8997600639829378,1600,1775,0.5259259259259259
5044,2,"D22,D806",3,3374,0.8994934684084244,1561,1813,0.5373443983402489
16886,2,"D93,D949",4,3374,0.8994934684084244,1527,1847,0.54742145820984
10048,2,"D53,D108",3,3373,0.899226872833911,1487,1886,0.559146160687815
21303,2,"D143,D187",3,3373,0.899226872833911,1591,1782,0.5283130744144678
8302,2,"D44,D166",3,3372,0.8989602772593975,1533,1839,0.5453736654804271
2894,2,"D12,D69",4,3371,0.8986936816848841,1546,1825,0.5413823791159893
5028,2,"D22,D673",3,3370,0.8984270861103706,1531,1839,0.5456973293768546
10428,2,"D55,D73",3,3370,0.8984270861103706,1547,1823,0.5409495548961424
10013,2,"D53,D68",3,3369,0.8981604905358571,1517,1852,0.549718017215791
12827,2,"D68,D93",3,3369,0.8981604905358571,1527,1842,0.5467497773820125
16316,2,"D90,D504",3,3368,0.8978938949613436,1506,1862,0.5528503562945368
14339,2,"D77,D128",4,3367,0.8976272993868302,1506,1861,0.5527175527175527
14434,2,"D77,D596",3,3363,0.8965609170887763,1568,1795,0.5337496283080583
14317,2,"D77,D92",4,3361,0.8960277259397494,1497,1864,0.5545968461767331
16525,2,"D91,D741",3,3360,0.895761130365236,1509,1851,0.5508928571428572
18795,2,"D108,D596",3,3360,0.895761130365236,1558,1802,0.5363095238095238
10035,2,"D53,D93",3,3358,0.895227939216209,1536,1822,0.5425848719475879
12299,2,"D65,D187",3,3358,0.895227939216209,1576,1782,0.5306730196545563
3077,2,"D12,D926",3,3356,0.8946947480671821,1527,1829,0.5449940405244339
24636,2,"D187,D802",3,3355,0.8944281524926686,1576,1779,0.5302533532041729
