gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,9,0.121236776382816,0.5306043627308883,0.3978800051228959,0.007331632690278964,665.3227414702149,True,188,281,882,"[328, 285, 882, 281, 383, 295, 564, 324, 409]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,8,0.11918319630165393,0.5451207967656244,0.4118735306567605,0.006089026552211496,623.2140668952794,True,188,303,1054,"[383, 303, 1054, 329, 360, 571, 356, 395]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,7,0.11722138011831626,0.6011448980878794,0.4122762729960139,0.0037802142659523474,474.97396234033477,True,188,330,1056,"[383, 1056, 684, 353, 330, 363, 582]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,8,0.1170046074945797,0.5370664072773842,0.3515639602376641,0.006403773776824828,644.0383086244386,True,188,299,1050,"[299, 572, 383, 355, 1050, 402, 361, 329]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,8,0.09656433507525873,0.3844555943610339,0.1338316443832805,0.0011475730814976964,883.049690801698,True,188,284,743,"[487, 685, 377, 312, 284, 743, 407, 456]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,6,0.08993214770237133,0.3920657529003148,0.1468834315558257,0.0028327314617297705,831.6234909246534,True,188,487,781,"[700, 487, 728, 491, 781, 564]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,2,0.6206561791904645,0.9997510873576592,0.20166555598810673,0.20707827693848158,0.12981198953907658,False,188,3,3748,"[3748, 3]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,4,0.42700412691534045,0.942505664687195,0.18814354777847073,0.2939135211541313,18.928042423186632,False,188,34,3584,"[3584, 95, 34, 38]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,3,0.4207585797413676,0.9530183462093916,0.18964657111828107,0.0979879704806329,11.134993452590619,False,188,68,3603,"[3603, 68, 80]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,5,0.3169449546669281,0.7619130982337189,0.15308411300170574,0.07287952726628061,36.414918267142156,False,188,38,2743,"[832, 39, 38, 2743, 99]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,4,0.18201866843529776,0.7849006835686201,0.14326111473198155,0.009017807010862057,178.89307935558728,False,188,173,1429,"[883, 1429, 1266, 173]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,6,0.1744667619788842,0.7007282623751291,0.13677146403668544,0.010072157872741183,70.3164404854899,False,188,31,1434,"[1262, 520, 1434, 36, 468, 31]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,6,0.16528518941994988,0.698215298633379,0.4085721010982481,0.02079975338050724,336.08573301008255,False,188,115,1128,"[599, 1128, 1056, 115, 379, 474]"
