component,explained_variance_ratio,cumulative_explained_variance
PC215,0.0007547998047641081,0.8833579889385675
PC216,0.0007476897786091339,0.8841056787171767
PC217,0.000745947389531777,0.8848516261067085
PC218,0.0007383592380682603,0.8855899853447768
PC219,0.0007377083284375381,0.8863276936732144
PC220,0.0007306457173222711,0.8870583393905367
PC221,0.0007227811289839609,0.8877811205195206
PC222,0.000719031701886846,0.8885001522214074
PC223,0.0007179381890452519,0.8892180904104526
PC224,0.0007138899280824164,0.889931980338535
PC225,0.0007118460443984863,0.8906438263829335
PC226,0.0007048996321754548,0.891348726015109
PC227,0.0007003303122121112,0.892049056327321
PC228,0.0006944257221641578,0.8927434820494852
PC229,0.0006915758413455556,0.8934350578908308
PC230,0.0006875530466488046,0.8941226109374796
PC231,0.0006841287535850165,0.8948067396910646
PC232,0.0006745758093544469,0.8954813155004191
PC233,0.0006730976133893776,0.8961544131138085
PC234,0.0006705431252521078,0.8968249562390606
PC235,0.0006676604557637562,0.8974926166948243
PC236,0.0006670668919993657,0.8981596835868236
PC237,0.0006625456767027091,0.8988222292635264
PC238,0.0006595678426137047,0.8994817971061401
PC239,0.0006536667568504953,0.9001354638629906
