split,repeat,fold,k,train_size,validation_size,remaining_features,pca_components,explained_variance,mean_validation_within_variance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size
19,4,4,10,3001,750,1519,231,0.9006162470704755,43.68479879296042,0.10975097453712378,10,37,125
20,4,5,2,3001,750,1517,232,0.9005984182406135,56.750514285756786,0.24880502174336414,2,189,561
20,4,5,3,3001,750,1517,232,0.9005984182406135,50.63382016467558,0.1421189478501108,3,189,302
20,4,5,4,3001,750,1517,232,0.9005984182406135,47.909572781787446,0.1550554109877423,4,35,302
20,4,5,5,3001,750,1517,232,0.9005984182406135,46.18700416487599,0.09154268635907235,5,35,259
20,4,5,6,3001,750,1517,232,0.9005984182406135,45.490327595112305,0.09648703390884375,6,35,259
20,4,5,7,3001,750,1517,232,0.9005984182406135,44.39756968505979,0.10465157221404403,7,35,259
20,4,5,8,3001,750,1517,232,0.9005984182406135,43.36002057290646,0.10615191775168983,8,35,154
20,4,5,9,3001,750,1517,232,0.9005984182406135,42.88521616246655,0.11185168361350804,9,33,226
20,4,5,10,3001,750,1517,232,0.9005984182406135,42.03707979821364,0.11260643211565158,10,33,143
21,5,1,2,3000,751,1508,233,0.9005478297989584,58.898778645839336,0.24833142039603973,2,210,541
21,5,1,3,3000,751,1508,233,0.9005478297989584,53.096663776981515,0.13618241244925744,3,210,299
21,5,1,4,3000,751,1508,233,0.9005478297989584,50.10653184514294,0.15029432574614088,4,35,299
21,5,1,5,3000,751,1508,233,0.9005478297989584,48.280533497791566,0.09385491978306891,5,35,242
21,5,1,6,3000,751,1508,233,0.9005478297989584,47.39903138499747,0.09639733252390231,6,35,242
21,5,1,7,3000,751,1508,233,0.9005478297989584,46.39113409602516,0.10462591919265271,7,35,242
21,5,1,8,3000,751,1508,233,0.9005478297989584,45.437458918342095,0.10444931681381568,8,35,130
21,5,1,9,3000,751,1508,233,0.9005478297989584,44.72989378337414,0.1077838471411689,9,14,131
21,5,1,10,3000,751,1508,233,0.9005478297989584,44.14194846452029,0.1146889029517557,10,17,155
22,5,2,2,3001,750,1526,232,0.9000136110357303,55.24682112129763,0.2533078044285205,2,182,568
22,5,2,3,3001,750,1526,232,0.9000136110357303,49.25000335776489,0.14265181268510424,3,182,303
22,5,2,4,3001,750,1526,232,0.9000136110357303,47.102187293147765,0.1536145209172725,4,31,303
22,5,2,5,3001,750,1526,232,0.9000136110357303,45.446679212378726,0.09029367099736642,5,31,265
22,5,2,6,3001,750,1526,232,0.9000136110357303,44.62836985707345,0.09388279059604714,6,31,265
22,5,2,7,3001,750,1526,232,0.9000136110357303,43.2937695560154,0.10348907296573472,7,31,151
22,5,2,8,3001,750,1526,232,0.9000136110357303,42.3393633251548,0.10788609828458527,8,31,140
22,5,2,9,3001,750,1526,232,0.9000136110357303,41.63995892883521,0.11116880990081286,9,31,134
22,5,2,10,3001,750,1526,232,0.9000136110357303,40.82267538347404,0.11610682925827451,10,17,131
23,5,3,2,3001,750,1518,230,0.9001933963866604,57.69281663073835,0.2312249732837197,2,215,535
23,5,3,3,3001,750,1518,230,0.9001933963866604,51.894804578787195,0.13032803797598258,3,215,269
23,5,3,4,3001,750,1518,230,0.9001933963866604,49.60992630081686,0.1410559302404776,4,31,269
23,5,3,5,3001,750,1518,230,0.9001933963866604,48.159578889928554,0.08258161686596725,5,31,266
23,5,3,6,3001,750,1518,230,0.9001933963866604,47.261065702848235,0.09004601768364436,6,31,266
23,5,3,7,3001,750,1518,230,0.9001933963866604,46.24981433160101,0.09336398912766666,7,31,266
23,5,3,8,3001,750,1518,230,0.9001933963866604,45.54537835212758,0.09215019149051068,8,31,228
23,5,3,9,3001,750,1518,230,0.9001933963866604,44.40399517677897,0.10051415531755306,9,27,136
23,5,3,10,3001,750,1518,230,0.9001933963866604,43.669216992292824,0.10421297669727617,10,17,128
24,5,4,2,3001,750,1516,231,0.9001113665435394,59.99773834148009,0.22993180177016218,2,221,529
24,5,4,3,3001,750,1516,231,0.9001113665435394,54.27958510575478,0.12649830894142386,3,221,275
24,5,4,4,3001,750,1516,231,0.9001113665435394,51.12128051806797,0.14131237734270818,4,42,275
24,5,4,5,3001,750,1516,231,0.9001113665435394,49.4598664085393,0.08643572701520612,5,42,254
24,5,4,6,3001,750,1516,231,0.9001113665435394,48.43225705987343,0.09637990097623166,6,42,254
24,5,4,7,3001,750,1516,231,0.9001113665435394,47.290535966769134,0.1011484929347752,7,42,254
24,5,4,8,3001,750,1516,231,0.9001113665435394,46.41200984231074,0.10063138007817875,8,42,145
24,5,4,9,3001,750,1516,231,0.9001113665435394,45.3021241551411,0.10669147559341995,9,24,148
24,5,4,10,3001,750,1516,231,0.9001113665435394,44.89409106501017,0.1080281033869623,10,13,139
25,5,5,2,3001,750,1514,232,0.900521589113379,58.694912866988275,0.23069736111618916,2,228,522
